,Средняя оценка,Факультет,Законченных семестров,Ступень_образования,Отчислен,Год_поступления,Пол
0,4.48,РКТ,10,Специалист,True,2009,Ж
1,4.3,РКТ,9,Специалист,True,2012,Ж
22,3.5,РКТ,1,Специалист,True,2011,Ж
24,3.0,РКТ,1,Специалист,True,2014,Ж
27,3.82,РКТ,10,Специалист,True,2009,М
28,4.54,РКТ,10,Специалист,True,2009,М
29,4.0,РКТ,9,Специалист,True,2010,М
30,4.16,РКТ,10,Специалист,True,2014,М
33,3.33,РКТ,2,Специалист,True,2014,М
75,3.84,РКТ,10,Специалист,True,2012,М
76,4.04,РКТ,10,Специалист,True,2014,М
97,3.62,РКТ,10,Специалист,True,2014,М
109,4.05,РКТ,11,Специалист,False,2010,М
111,3.1,РКТ,2,Специалист,True,2008,М
124,3.56,РКТ,10,Специалист,True,2009,М
125,4.89,РКТ,10,Специалист,True,2013,М
146,3.63,РКТ,9,Специалист,True,2013,М
159,3.52,РКТ,9,Специалист,True,2007,М
160,3.4,РКТ,9,Специалист,True,2007,М
161,4.4,РКТ,10,Специалист,True,2014,М
163,3.4,РКТ,1,Специалист,True,2007,М
195,3.97,РКТ,10,Специалист,True,2013,М
197,3.0,РКТ,1,Специалист,True,2013,М
210,4.85,РКТ,10,Специалист,True,2009,М
211,3.5,РКТ,9,Специалист,True,2010,М
212,3.63,РКТ,9,Специалист,True,2010,М
244,3.47,РКТ,10,Специалист,True,2009,М
245,3.83,РКТ,1,Специалист,True,2015,М
246,3.73,РКТ,4,Специалист,True,2017,М
248,3.0,РКТ,1,Специалист,True,2009,М
265,4.4,РКТ,9,Специалист,True,2007,М
266,3.25,РКТ,2,Специалист,True,2018,М
279,3.8,РКТ,11,Специалист,False,2008,М
280,4.39,РКТ,11,Специалист,False,2013,М
281,3.0,РКТ,2,Специалист,True,2010,М
283,3.33,РКТ,1,Специалист,True,2018,М
289,3.0,РКТ,1,Специалист,True,2009,М
315,4.29,РКТ,10,Специалист,True,2009,М
316,4.09,РКТ,10,Специалист,True,2011,М
317,3.66,РКТ,10,Специалист,True,2011,М
318,4.57,РКТ,9,Специалист,True,2011,М
319,4.98,РКТ,10,Специалист,True,2013,М
324,3.38,РКТ,6,Специалист,True,2016,М
325,3.8,РКТ,3,Специалист,True,2009,М
381,3.68,РКТ,11,Специалист,False,2009,М
382,4.25,РКТ,11,Специалист,False,2009,М
383,3.62,РКТ,10,Специалист,True,2014,М
384,4.3,РКТ,5,Специалист,True,2013,М
388,3.0,РКТ,1,Специалист,True,2009,М
424,4.06,РКТ,10,Специалист,True,2009,М
425,3.75,РКТ,11,Специалист,False,2010,М
427,3.1,РКТ,2,Специалист,True,2008,М
450,4.0,РКТ,10,Специалист,True,2011,М
451,4.6,РКТ,10,Специалист,True,2013,М
454,3.0,РКТ,2,Специалист,True,2009,М
476,4.14,РКТ,10,Специалист,True,2009,Ж
487,3.96,РКТ,10,Специалист,True,2009,М
488,4.81,РКТ,8,Специалист,True,2012,М
509,3.38,РКТ,4,Специалист,True,2012,М
516,3.7,РКТ,10,Специалист,True,2009,М
517,3.91,РКТ,2,Специалист,True,2014,М
518,3.21,РКТ,5,Специалист,True,2016,М
537,3.92,РКТ,10,Специалист,True,2009,М
538,4.66,РКТ,9,Специалист,True,2010,М
559,3.17,РКТ,1,Специалист,True,2011,М
560,3.2,РКТ,1,Специалист,True,2012,М
563,3.79,РКТ,11,Специалист,True,2012,М
564,3.77,РКТ,11,Специалист,True,2012,М
589,4.87,РКТ,10,Специалист,True,2009,М
590,4.38,РКТ,10,Специалист,True,2014,М
592,4.26,РКТ,5,Специалист,True,2016,М
617,3.59,РКТ,9,Специалист,True,2008,М
618,3.57,РКТ,11,Специалист,False,2009,М
619,4.14,РКТ,9,Специалист,True,2013,М
649,3.73,РКТ,10,Специалист,True,2011,М
653,4.17,РКТ,10,Специалист,True,2011,М
654,3.81,РКТ,10,Специалист,True,2013,М
682,4.48,РКТ,10,Специалист,True,2009,М
693,4.0,РКТ,11,Специалист,True,2011,М
705,4.14,РКТ,9,Специалист,True,2010,М
706,4.9,РКТ,10,Специалист,True,2013,М
727,3.96,РКТ,10,Специалист,True,2014,М
731,3.28,РКТ,5,Специалист,True,2011,М
746,4.14,РКТ,10,Специалист,True,2014,М
757,4.0,РКТ,9,Специалист,True,2010,М
769,4.02,РКТ,9,Специалист,True,2010,М
780,4.66,РКТ,10,Специалист,True,2009,М
